"estudiante","agno","semestre","evaluacion","curso","estado"
"E0001",2009,1,0,"A0001","ANULADA"
"E0001",2009,1,0.00729762783561686,"A0002","CURSADA"
"E0001",2009,1,0.00762196685053317,"A0003","CURSADA"
"E0001",2009,1,0.00762196685053317,"A0004","CURSADA"
"E0001",2009,1,0.0064867802983261,"A0005","CURSADA"
"E0001",2009,2,0.00324339014916305,"A0006","CURSADA"
"E0001",2009,2,0.00259471211933044,"A0007","CURSADA"
"E0001",2009,2,0.00324339014916305,"A0008","CURSADA"
"E0001",2009,2,0.00210820359695598,"A0009","CURSADA"
"E0001",2009,2,0.00324339014916305,"A0001","CURSADA"
"E0001",2010,1,0.00324339014916305,"A00010","CURSADA"
"E0001",2010,1,0.00389206817899566,"A00011","CURSADA"
"E0001",2010,1,0.00243254261187229,"A00012","CURSADA"
"E0001",2010,1,0.00827064488036578,"A00013","CURSADA"
"E0001",2010,1,0.0064867802983261,"A0001","CURSADA"
"E0001",2010,2,0,"A00014","CURSADA"
"E0001",2010,2,0.00891932291019839,"A0006","CURSADA"
"E0001",2010,2,0.00227037310441414,"A0007","CURSADA"
"E0001",2010,2,0.00729762783561686,"A0008","CURSADA"
"E0001",2010,2,0.00697328882070056,"A00011","CURSADA"
"E0001",2010,2,0.00843281438782393,"A0009","CURSADA"
"E0001",2010,2,0,"A00015","ANULADA"
"E0001",2011,1,0.00778413635799132,"A00010","CURSADA"
"E0001",2011,1,0.0064867802983261,"A00016","CURSADA"
"E0001",2011,1,0.00567593276103534,"A00017","CURSADA"
"E0001",2011,1,0.00681111931324241,"A00012","CURSADA"
"E0001",2011,1,0.00567593276103534,"A00018","CURSADA"
"E0001",2011,1,0.00729762783561686,"A00019","CURSADA"
"E0001",2011,1,0.00583810226849349,"A00020","CURSADA"
"E0001",2011,2,0,"A0007","ANULADA"
"E0001",2011,2,0.00162169507458153,"A00021","CURSADA"
"E0001",2011,2,0.00162169507458153,"A00022","CURSADA"
"E0001",2011,2,0.00162169507458153,"A00023","CURSADA"
"E0001",2011,2,0.00162169507458153,"A00020","CURSADA"
"E0001",2013,1,0.00162169507458153,"A00024","CURSADA"
"E0001",2013,1,0.00697328882070056,"A00017","CURSADA"
"E0001",2013,1,0.00729762783561686,"A00018","CURSADA"
"E0001",2013,1,0,"A00020","ANULADA"
"E0001",2013,2,0.00470291571628642,"A0007","CURSADA"
"E0001",2013,2,0.00810847537290763,"A00021","CURSADA"
"E0001",2013,2,0.00324339014916305,"A00025","CURSADA"
"E0001",2013,2,0,"A00022","ANULADA"
"E0001",2013,2,0.0110275265071544,"A00026","CURSADA"
"E0001",2013,2,0.00908149241765654,"A00023","CURSADA"
"E0001",2014,1,0,"A00027","ANULADA"
"E0001",2014,1,0.0103788484773218,"A00028","CURSADA"
"E0001",2014,1,0,"A00029","ANULADA"
