"","model","accuracy","kappa","recall","precision","f1_score"
"1","svm linear","0.741573033707865","0.328191663931736","0.949152542372881","0.736842105263158","0.82962962962963"
"2","decision tree","0.752808988764045","0.397538461538461","0.898305084745763","0.768115942028985","0.828125"
"3","knn","0.786516853932584","0.475007761564732","0.932203389830508","0.785714285714286","0.852713178294574"
"4","rain forest","0.707865168539326","0.33543940264216","0.796610169491525","0.770491803278688","0.783333333333333"
"5","logistic regression","0.730337078651685","0.318442884492661","0.915254237288136","0.73972602739726","0.818181818181818"
