"","model","accuracy","kappa","recall","precision","f1_score"
"1","svm linear","0.887640449438202","0.752640355753196","0.898305084745763","0.929824561403509","0.913793103448276"
"2","decision tree","0.910112359550562","0.805251641137856","0.898305084745763","0.963636363636364","0.929824561403509"
"3","knn","0.853932584269663","0.670464255197949","0.898305084745763","0.883333333333333","0.890756302521008"
"4","rain forest","0.932584269662921","0.851584213451918","0.932203389830508","0.964912280701754","0.948275862068965"
"5","logistic regression","0.876404494382023","0.730079955886408","0.88135593220339","0.928571428571429","0.904347826086956"
