"","Estudiante","c_enrrolado","c_aprobados","sem_cursados","c_bajo_media","c_repetidos","c_mas_repetido","veces_c_mas_repetidos","PGA","PSP_RE_1","PSP_RE_2","PSP_RE_3","PSP_RE_4","PSP_RE_5","PSP_RE_6","PSP_RE_7","PSP_RE_8","PSP_ABS_1","PSP_ABS_2","PSP_ABS_3","PSP_ABS_4","PSP_ABS_5","PSP_ABS_6","PSP_ABS_7","PSP_ABS_8","aristas","densidad","diametro","long.med.cam","grado_medio","modularidad","Dropout"
"154","E000397",40,33,6,7,4,"A00065",2,0.00817727484848,0.00729762782742,0.00832470141662,0.00713545829058,0.00537476089916,0.00822431075254,0.00748296447897,0,0,0.006259744,0.007324655,0.00554079166667,0,0.002081175,0,0,0,11,0,2,1.31,0.37,0.69,0
"155","E000404",58,34,11,15,20,"A0004",4,0.00737871294118,0.00609294005803,0.00531915994361,0.00640569557436,0.0073300617747,0.00521645252593,0.00694085508585,0.00651921420358,0.00515699042007,0.006875988,0.00770305333333,0.00375692666667,0.00389207,0.00227037333333,0,0.00110815833333,0,29,0.01,4,1.74,0.97,0.73,0
"156","E000406",11,3,3,7,4,"A00064",1,0.00686517666667,0.00705437338911,0.0032433901797,0.00366503093392,0,0,0,0,0,0.002464976,0.000945988333333,0,0,0,0,0,0,4,0,0,0,0.13,0.5,1
"157","E000415",72,51,11,32,17,"A00010",3,0.00821023,0.0080111737363,0.0060002716879,0.00345189383786,0.00416235072771,0.00707059055567,0.00463341449254,0.00629758260523,0.00748296434592,0.00697329,0.00718951666667,0.00489211333333,0.00740574166667,0.00775711,0.005546196,0.008432815,0.00748296142857,68,0.02,8,3.04,2.27,0.77,1
"158","E000417",60,35,13,22,24,"A00058",3,0.00782583828571,0.00378395531637,0.00656786520267,0.00583810231183,0.00709491595626,0.00454074628651,0.00433803431224,0.00616244133562,0.00818956003059,0.007849004,0.007648995,0.00521645333333,0.00800036166667,0.00497319833333,0,0.00424343666667,0,45,0.01,4,2,1.5,0.8,0
"159","E000418",49,22,9,28,23,"A00059",3,0.00731974318182,0.00593077065423,0.00522185820155,0.00489751920104,0.0057975599193,0.00385963430163,0.00447587845847,0.00368356456914,0.00378395516115,0.00431371,0.00108113,0.00113518666667,0,0,0,0,0,22,0.01,2,1.33,0.73,0.8,0
"160","E00042",33,18,6,13,11,"A00057",2,0.00782017166667,0.00590760350626,0.00685166183393,0.00397315295413,0.00745979727556,0.00483805701757,0.00567593278053,0,0,0.001297356,0,0,0,0,0,0,0,8,0,1,1,0.27,0.72,0
"161","E000420",50,37,9,22,9,"A00025",1,0.00868702594595,0.00778413645457,0.00602730010481,0.00567593276501,0.00721654319204,0.00440560496645,0.00583810235063,0.00829381203013,0.00959116805877,0.004411012,0.00505428333333,0.004567775,0.00724357166667,0.00562186833333,0.003470428,0.00827064333333,0.00801580857143,52,0.01,10,3.03,1.73,0.75,1
"162","E000424",30,17,6,14,9,"A00080",2,0.00808939941176,0.00530525958831,0.00604081421625,0.00817334325984,0.00575701752678,0.00638947859406,0.00638947864063,0,0,0.001427092,0.000945988333333,0.00118924333333,0,0,0,0,0,8,0,1,1,0.27,0.72,0
"163","E000425",59,42,9,37,9,"A0007",2,0.00788452738095,0.00644623790868,0.00685166177573,0.00632461085916,0.00743276905268,0.00593077065423,0.00639411195048,0.00502725468121,0.00720495948501,0.002627146,0.00700031666667,0.00410829333333,0.00767602166667,0.00729762833333,0.004183974,0.00700031833333,0.00755246142857,58,0.02,9,3.12,1.93,0.76,1
"164","E000426",52,33,10,29,13,"A0004",3,0.00832470212121,0.00610838473464,0.00656786502805,0.00686517575135,0.00745979743078,0.00556781969499,0,0.00562187617955,0.00516915315529,0.00298392,0.00127032833333,0.00127032833333,0.008000365,0.004081265,0.003892068,0.00791927666667,0.00745979428571,44,0.01,5,1.69,1.47,0.84,1
"165","E000427",67,46,11,36,17,"A0003",2,0.00795688217391,0.00551376328804,0.00681111942201,0.00613000746816,0.00677057693247,0.00705437354433,0.00470291576736,0.00775170242414,0.00576860111739,0.007005724,0.00729762666667,0.00486508666667,0.00756791166667,0.00732465833333,0.003113656,0.00789224833333,0.00739029285714,67,0.02,8,2.43,2.23,0.8,1
"166","E000429",22,19,1,4,0,"",0,0.00829624526316,0.00732711323706,0,0,0,0,0,0,0,0.002886618,0.00137844,0,0,0.00110815833333,0,0,0,1,0,1,1,0.03,-0.5,1
"167","E00043",31,21,6,7,7,"A00059",2,0.00822431285714,0.00722812661635,0.00748682565366,0.00609757350758,0.00716789225116,0.00577323441394,0.00659489321212,0,0,0.004702916,0.00118924333333,0.00151358166667,0,0,0,0,0,10,0,1,1,0.33,0.74,0
"168","E000432",73,55,14,13,15,"A00059",3,0.00856254981818,0.00694626065282,0.00797873986885,0.00590297011659,0.00514888192993,0.00733006168157,0.00729762809351,0.00506779714487,0.00875715329312,0.007849006,0.00862201166667,0.00664895166667,0.008135505,0.00870310333333,0,0.00864904,0.00282638,50,0.01,4,1.95,1.67,0.86,0
"169","E000433",44,22,8,20,17,"A00058",4,0.00739345545455,0.0056990998398,0.00540565039652,0.0055948481895,0.0027893156046,0.00230280701071,0.00788143817335,0.00518942438066,0.00480021745898,0.001848732,0.002243345,0,0,0,0,0,0,14,0,1,1,0.47,0.78,0
"170","E000435",35,31,6,19,1,"A00025",1,0.00818171548387,0.00656786514446,0.00739492960274,0.00808144717788,0.008189560147,0.00711229117587,0.0068574534463,0,0,0.001297356,0.002540655,0.00167575,0.00524348166667,0.00429749833333,0.001718996,0.00740574,0.00581493714286,15,0,5,2.03,0.5,0.62,1
"171","E000437",14,6,3,9,3,"A00020",1,0.007324655,0.00721654319204,0.00632461085916,0.00441101063043,0,0,0,0,0,0.003665032,0.00108113,0.001621695,0,0.00170278,0.001718996,0,0,5,0,1,1,0.17,0.64,1
"172","E000439",63,58,10,3,0,"",0,0.00850830551724,0.00732079507517,0.008189560147,0.00737871276215,0.00755709912628,0.00797873996198,0.00774359412026,0.008189560147,0.00937880311782,0.007427366,0.00816253,0.00537862166667,0.00786522166667,0.00886526833333,0.003697468,0.00962205,0.00803896285714,36,0.01,8,2.77,1.2,0.77,0
"173","E00044",66,32,14,33,30,"A00064",5,0.007353375625,0.00427046371624,0.00725708552636,0.0056110650301,0.00613000746816,0.00470291571692,0.00551376328804,0.00492995306849,0.00489751920104,0.00648678,0.00716248666667,0.00462183166667,0.00562187666667,0.00300013666667,0,0.00205414833333,0,51,0.01,4,1.83,1.7,0.79,0
"174","E000440",45,22,10,15,21,"A00059",3,0.00791682272727,0.00549059620659,0.00567593274172,0.0049948208034,0.00288661718369,0.00512455636635,0.00790576357394,0.00240010872949,0,0.00207577,0.00129735666667,0,0,0,0,0,0,13,0,1,1,0.43,0.73,0
"175","E000444",32,15,7,14,13,"A00059",2,0.00745979866667,0.0072976279771,0.00632461087662,0.00651921434328,0.00450020388234,0.00435154838488,0.00604081421625,0.00353529527783,0,0.004508314,0,0.00189197833333,0,0,0,0,0,15,0,2,1.25,0.5,0.81,0
"176","E000450",31,19,6,10,9,"A00058",2,0.00820236473684,0.00583810226193,0.00655164821073,0.00522996659856,0.0049948208034,0.00603270577267,0.00645434646867,0,0,0.002464976,0,0,0,0,0,0,0,8,0,0,0,0.27,0.66,0
