"","model","accuracy","kappa","recall","precision","f1_score"
"1","svm linear","0.855072463768116","0.710165219826379","0.846153846153846","0.862745098039216","0.854368932038835"
"2","decision tree","0.821256038647343","0.642820500862752","0.730769230769231","0.894117647058824","0.804232804232804"
"3","knn","0.801932367149758","0.603910953469921","0.788461538461538","0.811881188118812","0.8"
"4","rain forest","0.879227053140097","0.758549899687398","0.836538461538462","0.91578947368421","0.874371859296482"
"5","logistic regression","0.821256038647343","0.642653851537349","0.778846153846154","0.852631578947368","0.814070351758794"
